Star Rating,Review Text,Word Count
1,Опять просрочка,2
1,Среднее впечатление,2
1,Самая безобразная служба поддержки,4
1,Это потеря времени и нервов,5
1,Ужасный сервис не рекомендую,4
1,Развод какой-то,2
1,Хамский персонал,2
1,Честно говоря не в восторге от этой сети,8
1,Безобразно,1
1,плохая выкладка товара,3
1,воровство баллов,2
1,Тухлый товар при доставке,4
1,Отвратительный сервис,2
1,"Полное неуважение хозяев ""Пяторочка"" к клиентам и сотрудникам магазина",9
1,Полный отстой,2
1,очень плохо.,2
1,Ужасно,1
1,"Обман в чеке с пакетами, нищие продавщицы 5-ки",8
1,Отвратительно!,1
1,Ужас,1
1,Отвратительно,1
1,БЕСПРЕДЕЛ! Я в шоке!,4
1,"Пятёрочка в г. Шатура, Пр. Илича, 46, Моск.обл.",8
1,Обман + Грязь,3
1,Фальсификация акции,2
1,всегда текучка и новые вакансии),5
1,"Просроченные продукты, тухлые битые яйца",5
1,Не оправданные цены,3
1,Как всегда,2
1,Карта лояльности,2
1,ужасное,1
1,всех держат за воров,4
1,Бомж сеть. Не рекомендую!,4
1,Цены как всегда не совпадают на кассе!,7
1,Помойка,1
1,"хамство и дикость, отзыв на официальном сайте поставлен 22.03.22, но не опубликован.",12
1,Пятерочка Доставка просто рассадник тупых сотрудников,6
1,Продавать тухлые продукты с прошедшим два дня назад сроком годности - это ок?,13
1,Жулики,1
1,мошенники,1
1,Постоянно идет обман. Ценники не соответствуют.,6
1,Ужас! Кошмар! Пятерочка мошенники! Отвратительное обращение. Система лояльности - фикция с не обоснованным списанием баллов,15
1,Не слабо обсчитывают каждого !,5
1,Худший магазин,2
1,Ужасное место,2
1,Конченые,1
1,Отвратительный персонал магазинов,3
1,"Свежее, но не съедобное.",4
1,Шарашкина контора,2
1,"Некорректное обслуживание, превышение должностных полномочий, нарушение закона.",7
1,магазин для бедных со всеми вытекающими...,6
1,Опасные продукты и не только в этой сети,8
1,Отвратительно,1
1,Обманщики!,1
1,В Пятёрочке тихий ужас,4
1,Неадекватная служба поддержки,3
1,Бездействие сервиса пятёрочки по возврату баллов,6
1,"Отвратительно. Всё. И магазины, и система кышбека, и тд.",9
1,Москва Карамышевская наб. Д. 58,5
1,Шок от продавщицы,3
1,Неадекватный продавец Ольга Цветкова,4
1,"Это не магазин, это ЖУЛЬЁ! Продолжение!",6
1,Вообщем нормальный магазин. Но!,4
1,Ужасно,1
1,Отвратительно,1
1,Воруют баллы с карты,4
1,Безнадежно испорчено,2
1,Отвратительная работа службы поддержки,4
1,Омерзително,1
1,Не очень,2
1,Просто кошмар,2
1,Это тролли 100500 уровня,4
1,"Мошенничество, воровство баллов с карт в крупных размерах.",8
1,Дошли до дна,3
1,Самоуправство охраны,2
1,"Гадюшник полный, грязь, вонь, алкоголики с охранником обнимаются , вообще ВСЕ БЕЗ МАСОК",13
1,[цензура] и обманщики!,3
1,Странный магазин,2
1,Кошмар...,1
1,Не дадут сэкономить,3
1,Обычный магазин,2
1,Лучше идти в магнит,4
1,Пяторочка помойка,2
1,Не тратьте своё время,4
1,Грубое обращение с покупателями,4
1,Ужасно,1
1,Обман,1
1,Опасные яблоки,2
1,Расстроен,1
1,3,1
1,Приложение Пятерочка доставка сайт мошенников,5
1,Беспредел сотрудников,2
1,Не советую пятерочку на Сиреневом бульваре 69 к.1 в Москве,10
1,Хамское обслуживание,2
1,Обман покупателей,2
1,Только плохие,2
1,ужасно,1
1,"Опасная компания, которая не может защитить ваши данные!",8
1,Отвратительное,1
1,Считаю ворьем,2
1,удовлетворительное,1
1,плохой,1
1,Ужасный персонал.,2
1,Может быть стоит заняться обучением персонала который работает с клиентами а может и не стоит,15
1,Нет слов,2
1,Развод,1
1,Обман,1
1,"Недовес овощей и фруктов, по некоторым позициям в 2 раза недовес( доставка через около)",14
1,Отвратительно!,1
1,"Магазин, где тебя постоянно пытаются обмануть",6
1,плохое,1
1,"Наглый обман с ценниками (Ростов-на-Дону, ул. Суворова, 23)",8
1,"Пятерочка ""выручает"": лохотронище на 5+",5
1,неправомерное списание баллов в одностороннем порядке,6
1,Разочарован,1
1,Наихудшее впечатление о данном предприятии,5
1,Обман и мошенничество,3
1,Плохая служба поддержки,3
1,Ужасный магазин,2
1,Полный отстой! Лохотрон!,3
1,Плохой магазин.,2
1,обман на ценниках,3
1,"Не выдали чек, присвоили бонусы!",5
1,"плохо,обман!",1
1,Пора обращаться в Роспотребнадзор и в Антимонопольная службу.,8
1,Отвратительно!,1
1,Никакое,1
1,"Новый магазин, все еще новое.",5
1,Полное разочерование,2
1,С каждым днём всё хуже,5
1,"Ужасный магазин,постоянный обман",3
1,Халатность и безразличие!,3
1,"программа лояльности отстой, поддержка - козлы",6
1,Так себе магазин,3
1,Моей семье стало обидно.,4
1,Мягко говоря плохой магазин,4
1,Порядка нет и не будет.,5
1,Обман!,1
1,Остерегайтесь акций с партнёрами сети магазинов Пятёрочка,7
1,Ужасное грабительское отношение к покупателю.,5
1,Большое разочарование.,2
1,Отвратительный магазин с наглым зажравшимися продавцами!,6
1,Не эконом класс,3
1,Плохо. Объявлена акция Удача. Скидку не предоставили.,7
1,"магазин, где работают хамки",4
1,Отвратительно!,1
1,"Хамство и непрофессионализм замдиректора. Москва, Комсомольский проспект, 45",8
1,"Пятёрочка, которая далеко уже не пятерочка.",6
1,Магазин пятёрочка в Саратове на Сорговой 16,7
1,Незаконное списание с карты в Пятёрочке,6
1,Все очень печально,3
1,Хлеб в Пятерочке - не рекомендую,6
1,Обман при каждом удобном случае. Не работающее приложение.,8
1,По карте полное г*вно,4
1,Бардак и обман,3
1,Просто ужас,2
1,УЖАС!,1
1,Ужасный сервис,2
1,"ужасный магазин, обманывают, списывают баллы с карты",7
1,Персонал постоянно хамит,3
1,Система лояльности - ложь и обман потребителей.,7
1,Один обман,2
1,Отвратительно пятерка в Бусиново,4
1,Ужасное поведение сотрудника,3
1,отвратительные магазины в большинстве случаев,5
1,Ужасный магазин,2
1,ВОРОВСТВО БАЛЛЛОВ,2
1,Кассир не хочет работать,4
1,Раз на раз не приходится,5
1,"Отвратительные программа лояльности, сервис, обслуживание",5
1,Отвратительный магазин в микрорайоне Светлый г. Электроугли,7
1,"Ужасная компания, безответственная",3
1,Обман с картой лояльности,4
1,Не приходите сюда,3
1,Грубое поведение сотрудника,3
1,Отвратительно и опасно,3
1,Обман и мошенничество среди бела дня,6
1,Наплевательское отношение к своим клиентам,5
1,Дурдом,1
1,Нагло завышенные цены !,4
1,[цензура],1
1,Обман с баллами,3
1,Ужасно,1
1,Ужасное отношение к покупателю,4
1,негатив,1
1,ОЧЕНЬ ПЛОХО,2
1,На самый крайний случай,4
1,Паленый алкоголь,2
1,Ужасный магазин,2
1,Шок! Опасно! На вас ни за что могут повесить воровство!,10
